make,vehicleModel,manufacturedYear,registeredYear,mileage,previousOwners,exteriorColor,fuelType,condition,transmission,bodyType,engineCapacity,value,normalized_value,normalized_engineCapacity,normalized_mileage,normalized_manufacturedYear,normalized_registeredYear
toyota,prius,2008,2009,120000,2,white,hybrid,pre-owned,automatic,hatchback,1500,4950000,0.04213382480929709,0.25373134328358204,0.2892688920745443,0.6923076923076863,0.6666666666666643
toyota,prius,2007,2009,128000,3,white,hybrid,pre-owned,automatic,hatchback,1500,5650000,0.049301182614037785,0.25373134328358204,0.3097481056727422,0.6666666666666643,0.6666666666666643
toyota,prius,2013,2014,110000,2,black,hybrid,pre-owned,automatic,hatchback,1800,8790000,0.0814519019095889,0.4029850746268656,0.26366987507679707,0.8205128205128176,0.7948717948717956
toyota,prius,2013,2015,150000,3,white,hybrid,pre-owned,automatic,hatchback,1800,9790000,0.0916909844877899,0.4029850746268656,0.36606594306778617,0.8205128205128176,0.8205128205128176
toyota,prius,2012,2014,141250,2,red,hybrid,pre-owned,automatic,hatchback,1800,8450000,0.07797061383300057,0.4029850746268656,0.34366680319475734,0.7948717948717956,0.7948717948717956
toyota,prius,2013,2014,107000,3,gray,hybrid,pre-owned,automatic,hatchback,1800,9450000,0.08820969641120156,0.4029850746268656,0.25599016997747287,0.8205128205128176,0.7948717948717956
toyota,prius,2016,2016,86700,1,white,hybrid,pre-owned,automatic,hatchback,1800,14895000,0.14396150104950595,0.4029850746268656,0.20402416547204588,0.8974358974358978,0.8461538461538467
toyota,prius,2012,2013,80000,1,white,hybrid,pre-owned,automatic,hatchback,1800,8390000,0.0773562688783085,0.4029850746268656,0.18687282408355518,0.7948717948717956,0.7692307692307665
toyota,prius,2007,2011,173000,3,white,hybrid,pre-owned,automatic,hatchback,1500,5950000,0.05237290738749808,0.25373134328358204,0.424943682162605,0.6666666666666643,0.7179487179487154
toyota,prius,2013,2014,126000,2,black,petrol,pre-owned,automatic,hatchback,1800,9395000,0.0876465468694005,0.4029850746268656,0.3046283022731927,0.8205128205128176,0.7948717948717956
toyota,prius,2013,2014,142000,2,gray,hybrid,pre-owned,automatic,hatchback,1800,835000,0.0,0.4029850746268656,0.34558672946958835,0.8205128205128176,0.7948717948717956
toyota,prius,2010,2011,145000,2,gray,hybrid,pre-owned,automatic,hatchback,1800,7450000,0.06773153125479957,0.4029850746268656,0.35326643456891255,0.7435897435897445,0.7179487179487154
toyota,prius,2013,2016,103000,2,white,hybrid,pre-owned,automatic,hatchback,1800,9750000,0.09128142118466186,0.4029850746268656,0.24575056317837396,0.8205128205128176,0.8461538461538467
toyota,prius,2013,2015,114000,2,red,hybrid,pre-owned,automatic,hatchback,1800,8975000,0.08334613218655608,0.4029850746268656,0.273909481875896,0.8205128205128176,0.8205128205128176
toyota,prius,2006,2015,221000,3,blue,hybrid,pre-owned,automatic,hatchback,1800,5450000,0.04725336609839759,0.4029850746268656,0.547818963751792,0.6410256410256352,0.8205128205128176
toyota,prius,2012,2014,174000,2,black,hybrid,pre-owned,automatic,hatchback,1800,7595000,0.06921619822863871,0.4029850746268656,0.4275035838623797,0.7948717948717956,0.7948717948717956
toyota,prius,2008,2011,166000,2,blue,hybrid,pre-owned,automatic,hatchback,1500,7850000,0.07182716428607996,0.25373134328358204,0.40702437026418187,0.6923076923076863,0.7179487179487154
toyota,prius,2011,2013,163000,2,red,hybrid,pre-owned,automatic,hatchback,1800,7695000,0.07024010648645881,0.4029850746268656,0.39934466516485767,0.7692307692307665,0.7692307692307665
toyota,prius,2011,2012,175000,2,white,petrol,pre-owned,automatic,hatchback,1800,7665000,0.06993293400911278,0.4029850746268656,0.4300634855621544,0.7692307692307665,0.7435897435897445
toyota,prius,2013,2015,127500,2,blue,hybrid,pre-owned,automatic,hatchback,1800,9000000,0.08360210925101111,0.4029850746268656,0.3084681548228548,0.8205128205128176,0.8205128205128176
toyota,prius,2011,2013,156000,3,gray,hybrid,pre-owned,automatic,hatchback,1500,6495000,0.057953207392617626,0.25373134328358204,0.38142535326643456,0.7692307692307665,0.7692307692307665
toyota,prius,2013,2014,171000,2,black,hybrid,pre-owned,automatic,hatchback,1800,8450000,0.07797061383300057,0.4029850746268656,0.4198238787630555,0.8205128205128176,0.7948717948717956
toyota,prius,2016,2017,132000,2,white,hybrid,pre-owned,automatic,hatchback,1800,12200000,0.11636717350125429,0.4029850746268656,0.3199877124718411,0.8974358974358978,0.8717948717948687
toyota,prius,2008,2009,150000,2,gray,hybrid,pre-owned,automatic,hatchback,1500,5300000,0.04571750371166743,0.25373134328358204,0.36606594306778617,0.6923076923076863,0.6666666666666643
toyota,prius,2009,2012,120000,2,blue,hybrid,pre-owned,automatic,hatchback,1800,7150000,0.06465980648133927,0.4029850746268656,0.2892688920745443,0.7179487179487154,0.7435897435897445
toyota,prius,2011,2013,157000,3,gray,hybrid,pre-owned,automatic,hatchback,1500,6390000,0.05687810372190652,0.25373134328358204,0.3839852549662093,0.7692307692307665,0.7692307692307665
toyota,prius,2013,2014,132000,2,black,hybrid,pre-owned,automatic,hatchback,1800,8390000,0.0773562688783085,0.4029850746268656,0.3199877124718411,0.8205128205128176,0.7948717948717956
toyota,prius,2013,2014,105000,1,white,petrol,pre-owned,automatic,hatchback,1800,9250000,0.08616187989556136,0.4029850746268656,0.2508703665779234,0.8205128205128176,0.7948717948717956
toyota,prius,2008,2010,277000,3,gray,petrol,pre-owned,automatic,hatchback,1500,5695000,0.049761941330056826,0.25373134328358204,0.6911734589391767,0.6923076923076863,0.6923076923076934
toyota,prius,2013,2014,119000,2,white,hybrid,pre-owned,automatic,hatchback,1800,9475000,0.08846567347565658,0.4029850746268656,0.2867089903747696,0.8205128205128176,0.7948717948717956
toyota,prius,2011,2012,120000,2,white,hybrid,pre-owned,automatic,hatchback,1800,7875000,0.072083141350535,0.4029850746268656,0.2892688920745443,0.7692307692307665,0.7435897435897445
